Date,Sales,Average Discount,Year,Month,Day,Week Day,Week End,Hijri Dates,eid ul fitr,eid ul Adha,Muharrum,Wheat Harvest,Cotton Harvest,brand r18p,brand v177j,brand P144q,brand b103y,brand N239O,brand R124D,brand k89w,brand W147Q,brand x232R
2017-09-13,9575,0,2017,9,13,1,0,1222,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-14,18680,0,2017,9,14,1,0,1223,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-15,8450,0,2017,9,15,1,0,1224,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-16,14980,0,2017,9,16,0,1,1225,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-17,2725,0,2017,9,17,0,1,1226,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-18,15690,0,2017,9,18,1,0,1227,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-19,14930,0,2017,9,19,1,0,1228,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-20,15805,0,2017,9,20,1,0,1229,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-21,5515,0,2017,9,21,1,0,11,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-22,6750,0,2017,9,22,1,0,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-23,12480,0,2017,9,23,0,1,13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-24,18830,50,2017,9,24,0,1,14,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
