,Unnamed: 0,Unnamed: 0.1,Date,brand J148v,PENCIL E/L,brand Z76b,brand G217u,brand O72y,brand K128P,brand z38s,brand q202Y,brand g155t,brand Y12k,brand A162z,brand l244I,brand T73v,brand c108X,brand q44b,brand y180c
265,265,265,10/07/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
266,266,266,12/07/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
267,267,267,13/07/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,268,268,13/07/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
269,269,269,13/07/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,270,270,15/07/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,271,271,15/07/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,272,272,17/07/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,273,273,19/07/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,274,274,19/07/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,275,275,20/07/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,276,276,20/07/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,277,277,20/07/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
278,278,278,20/07/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
279,279,279,20/07/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,280,280,27/07/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
281,281,281,29/07/2021,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
282,282,282,30/07/2021,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
283,283,283,31/07/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
284,284,284,03/08/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,285,285,03/08/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,286,286,04/08/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,287,287,05/08/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
288,288,288,05/08/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,289,289,05/08/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
290,290,290,05/08/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
291,291,291,05/08/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
292,292,292,06/08/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,293,293,06/08/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,294,294,09/08/2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
295,295,295,09/08/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
296,296,296,09/08/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
