,Unnamed: 0,Unnamed: 0.1,Date,brand r18p,brand v177j,brand I232M,brand V209V,brand P144q,brand j12s,brand Y213j,brand D203E,brand N239O,brand N97e,brand B197q,brand e250p,brand R124D,brand x20y,brand H165f,brand T75q
240,240,240,25/11/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,241,241,30/11/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
242,242,242,03/12/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
243,243,243,06/12/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
244,244,244,08/12/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
245,245,245,10/12/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
246,246,246,15/12/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
247,247,247,15/12/2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
248,248,248,19/12/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
249,249,249,21/12/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
250,250,250,21/12/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
251,251,251,22/12/2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
252,252,252,22/12/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
253,253,253,27/12/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254,254,254,10/01/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
255,255,255,11/01/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
256,256,256,17/01/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,257,257,17/01/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
258,258,258,24/01/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
259,259,259,02/02/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,260,260,06/02/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
261,261,261,14/02/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
262,262,262,14/02/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
263,263,263,14/02/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
264,264,264,19/02/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
265,265,265,20/02/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
266,266,266,20/02/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
267,267,267,27/02/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
268,268,268,28/02/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
269,269,269,28/02/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
270,270,270,28/02/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
271,271,271,29/02/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
272,272,272,04/03/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
273,273,273,04/03/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
274,274,274,16/03/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
275,275,275,22/05/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
276,276,276,23/05/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
277,277,277,30/05/2020,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
278,278,278,30/05/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
279,279,279,13/07/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
280,280,280,07/08/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
281,281,281,10/08/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
282,282,282,12/08/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
283,283,283,16/08/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
284,284,284,07/09/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
285,285,285,07/09/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
286,286,286,07/09/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
287,287,287,07/09/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
288,288,288,16/09/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
289,289,289,22/09/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
290,290,290,24/09/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
291,291,291,25/09/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
292,292,292,30/09/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
293,293,293,30/09/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
294,294,294,03/10/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
295,295,295,07/10/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,296,296,19/10/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
