,Date,NON BR,VERSACE,NILAY,PIERE CARDIN,PIER CARDIN,NURTEKS,NON B,NONB,BONDY,JEREMI,NURTEEKS,AYDOGAN,IMAJ,ANIL
331,11/11/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0
332,13/11/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
333,13/11/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
334,21/11/2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0
335,24/11/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
336,24/11/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
337,24/11/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
338,24/11/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
339,25/11/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
340,28/11/2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0
341,01/12/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
342,02/12/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
343,03/12/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
344,03/12/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
345,07/12/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
346,11/12/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
347,15/12/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
348,17/12/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
349,17/12/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
350,21/12/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
351,21/12/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
352,23/12/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
353,26/12/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
354,27/12/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
355,31/12/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
356,03/01/2021,0,0,0,3,0,0,0,0,0,0,0,0,0,0
357,03/01/2021,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
358,03/01/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
359,03/01/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
360,03/01/2021,0,0,0,0,0,0,2,0,0,0,0,0,0,0
361,03/01/2021,0,0,0,0,0,0,-2,0,0,0,0,0,0,0
362,03/01/2021,0,0,0,0,0,0,-2,0,0,0,0,0,0,0
363,05/01/2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0
364,17/01/2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0
