,Unnamed: 0,Unnamed: 0.1,Date,brand m179b,brand Y206o,brand r18p,brand e250p,brand T75q,brand V209V,brand Y213j,brand t96K,brand P144q,brand j12s,brand v177j,brand B222m,brand N239O,brand R124D,brand J246F,brand w32S,brand e26Z,brand i211A,brand k154H
240,240,240,21/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,241,241,22/12/2017,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
242,242,242,22/12/2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
243,243,243,22/12/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
244,244,244,22/12/2017,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
245,245,245,22/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,246,246,23/12/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,247,247,23/12/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,248,248,24/12/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,249,249,25/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,250,25/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,251,251,25/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,252,252,26/12/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,253,253,26/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,254,254,26/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,255,255,27/12/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,256,256,27/12/2017,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,257,257,27/12/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,258,258,27/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,259,259,29/12/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
