,Unnamed: 0,Unnamed: 0.1,Date,brand r165D,brand d194w,brand T75q,brand A96O,brand b184Z,brand N97e,brand P144q,brand y250R,brand g168h,brand B52k,brand F26r,brand K229H,brand w86C,brand t43I,brand t194u,brand N118F,brand b165J,brand l192e,brand f41N,brand z44A,brand S115T
184,184,184,22/09/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
185,185,185,22/09/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
186,186,186,22/09/2019,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,187,187,02/10/2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
188,188,188,03/10/2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
189,189,189,13/10/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190,190,190,13/10/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,191,191,15/10/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,192,192,19/10/2019,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,193,193,20/10/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
194,194,194,22/10/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,195,195,22/10/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,196,25/10/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
197,197,197,25/10/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,198,198,27/10/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,199,199,09/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,200,09/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,201,201,10/11/2019,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,202,202,10/11/2019,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,203,203,10/11/2019,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,204,204,10/11/2019,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,205,205,10/11/2019,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,206,206,10/11/2019,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,207,207,10/11/2019,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,208,208,10/11/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
209,209,209,10/11/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210,210,210,11/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,211,211,13/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,212,212,15/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,213,213,15/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,214,214,18/11/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,215,215,22/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,216,216,22/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,217,217,29/11/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,218,218,30/11/2019,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
219,219,219,01/12/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220,220,220,02/12/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
221,221,221,02/12/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,222,222,09/12/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,223,223,12/12/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,224,224,14/12/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,225,225,15/12/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,226,226,23/12/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,227,227,26/12/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,228,228,26/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
229,229,229,27/12/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,230,230,29/12/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
231,231,231,30/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
232,232,232,30/12/2019,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
233,233,233,07/01/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,234,234,20/01/2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
235,235,235,22/01/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,236,236,22/01/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,237,237,26/01/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,238,238,27/01/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,239,239,29/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
