,Unnamed: 0,Unnamed: 0.1,Date,brand r18p,brand b184Z,brand v177j,brand N97e,brand I232M,brand V209V,brand P144q,brand f129w,brand j12s,brand Y213j,brand N239O,brand B197q,brand Z240w,brand H165f
211,211,211,05/12/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
212,212,212,17/12/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0
213,213,213,03/01/2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0
214,214,214,03/01/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0
215,215,215,03/01/2021,0,0,0,0,0,0,0,1,0,0,0,0,0,0
216,216,216,03/01/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
217,217,217,03/01/2021,0,0,0,0,0,0,-2,0,0,0,0,0,0,0
218,218,218,03/01/2021,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
219,219,219,03/01/2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0
220,220,220,03/01/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0
221,221,221,03/01/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0
222,222,222,03/01/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0
223,223,223,03/01/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
224,224,224,03/01/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
225,225,225,03/01/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
226,226,226,03/01/2021,0,0,0,0,0,0,2,0,0,0,0,0,0,0
227,227,227,04/01/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0
228,228,228,07/01/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
229,229,229,10/01/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,230,230,27/01/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0
231,231,231,30/01/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
232,232,232,09/02/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0
233,233,233,28/02/2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0
234,234,234,02/03/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
235,235,235,03/07/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1
236,236,236,16/07/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
237,237,237,12/10/2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0
238,238,238,17/10/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1
239,239,239,22/10/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
240,240,240,13/11/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
241,241,241,18/11/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0
