Category,ItemCode,Barcode,ItemName,Unit,P/Rate,S/Rate
NIGHTIES LONG,BO3375,100033,BONDY,PCS,"3,590.00","3,590.00"
NIGHTIES LONG,BO3315,100034,BONDY,PCS,"3,590.00","3,590.00"
NIGHTIES LONG,BO3376,100035,BONDY,PCS,"3,590.00","3,590.00"
NIGHTIES LONG,BO3373,100036,BONDY,PCS,"4,790.00","4,790.00"
NIGHTIES LONG,NBB3973,100037,NBB,PCS,"3,390.00","3,390.00"
NIGHTIES LONG,NL356,100038,NILAY,PCS,"4,990.00","4,990.00"
NIGHTIES LONG,NL352,100039,NILAY,PCS,"3,990.00","3,990.00"
NIGHTIES LONG,NL396,100040,NILAY,PCS,"3,990.00","3,990.00"
NIGHTIES LONG,PC917,100042,PIER CARDIN,PCS,"4,290.00","4,290.00"
NIGHTIES LONG,NL354,100069,NILAY,PCS,"4,990.00","4,990.00"
NIGHTIES LONG,MAXYI1584,100251,NON BR,PCS,"1,690.00","1,690.00"
NIGHTIES LONG,BO3388,100268,BONDY,PCS,"5,990.00","5,990.00"
NIGHTIES LONG,NK513,100400,NON B,PCS,"1,450.00","1,450.00"
NIGHTIES LONG,BO3378,100424,BONDY,PCS,"3,590.00","3,590.00"
NIGHTIES LONG,PE3006-U,100425,PERIN,PCS,"3,595.00","3,595.00"
NIGHTIES LONG,NK0088,100452,NON BR,PCS,"2,590.00","2,590.00"
NIGHTIES LONG,NK0087,100453,NON BR,PCS,"2,690.00","2,690.00"
NIGHTIES LONG,NK0061,100454,NON BR,PCS,"2,690.00","2,690.00"
NIGHTIES LONG,NK0084,100455,NON BR,PCS,"2,890.00","2,890.00"
NIGHTIES LONG,NK66407,100456,NON BR,PCS,"2,090.00","2,090.00"
NIGHTIES LONG,NU7166,100457,NURTEKS,PCS,"4,690.00","4,690.00"
NIGHTIES LONG,NU7196,100458,NURTEKS,PCS,"4,990.00","4,990.00"
NIGHTIES LONG,PC900,100459,PIERE CARDIN,PCS,"5,990.00","5,990.00"
NIGHTIES LONG,PC902,100460,PIERE CARDIN,PCS,"4,590.00","4,590.00"
NIGHTIES LONG,PE3002U,100461,PERIN,PCS,"3,595.00","3,595.00"
NIGHTIES LONG,NK1688,100521,NON B,PCS,"1,890.00","1,890.00"
NIGHTIES LONG,NK0086,100550,NONB,PCS,"2,690.00","2,690.00"
NIGHTIES LONG,VB1133,100570,VELA BELLA,PCS,"5,990.00","5,990.00"
NIGHTIES LONG,NL398,100592,NILAY,PCS,"4,990.00","4,990.00"
NIGHTIES LONG,NU7122BIG,100631,NURTEKS,PCS,"4,290.00","4,290.00"
NIGHTIES LONG,NK0080,100652,NON B,PCS,"2,790.00","2,790.00"
NIGHTIES LONG,NK1190179,100653,NON B,PCS,"2,990.00","2,990.00"
NIGHTIES LONG,NK0082,100660,NON B,PCS,"2,590.00","2,590.00"
NIGHTIES LONG,NU7122,100697,NURTEKS,PCS,"4,190.00","4,190.00"
NIGHTIES LONG,PC903,100698,PIERE CARDIN,PCS,"5,390.00","5,390.00"
NIGHTIES LONG,P1190179,100768,NON B,PCS,"2,990.00","2,990.00"
NIGHTIES LONG,NK0081,100769,NON B,PCS,"2,790.00","2,790.00"
NIGHTIES LONG,NK6407,100770,NON B,PCS,"2,390.00","2,390.00"
NIGHTIES LONG,NK0083,100781,NON B,PCS,"2,890.00","2,890.00"
