Category,Item Code,Item Description,Bar Code,Qty Sold,Avg Rate,Total Avg Amount,Current Pur Rate,Total Current Amount,P N L
NIGHTIES PSC,YIMIX,YENI INCI,100094,10,"2,990.00","29,900","2,990.00","29,900",0
NIGHTIES PSC,ANHSMIX,ANIL,100096,13,"3,090.00","40,170","3,090.00","40,170",0
NIGHTIES PSC,USPMIXLP,USPOLO,100097,13,"4,095.00","53,235","4,095.00","53,235",0
NIGHTIES PSC,AYDOSHORTS,AYDOGAN,100098,2,"2,595.00","5,190","2,595.00","5,190",0
NIGHTIES PSC,AYDOMIX,AYDOGAN,100301,27,"3,259.44","88,005","3,590.00","96,930","-8,925"
NIGHTIES PSC,AYDOMIXBIG-FS,AYDOGAN,100328,2,"3,450.00","6,900","3,450.00","6,900",0
NIGHTIES PSC,NBBMIX-FS,NBB,100329,10,"3,590.00","35,900","3,590.00","35,900",0
NIGHTIES PSC,AYDOFSMIX,AYDOGAN,100381,7,"3,190.00","22,330",0,0,"22,330"
NIGHTIES PSC,HHSO61581,NON B,100410,3,"1,795.00","5,385","1,795.00","5,385",0
NIGHTIES PSC,HHSFOBIG,NON B,100411,9,"2,303.89","20,735","2,690.00","24,210","-3,475"
NIGHTIES PSC,HHSRNBIG,NON B,100412,12,"1,895.00","22,740","1,895.00","22,740",0
NIGHTIES PSC,HFSFOBIG,NON B,100413,3,"2,095.00","6,285","2,095.00","6,285",0
NIGHTIES PSC,HFSRN,HAPPY,100436,4,"1,895.00","7,580","1,895.00","7,580",0
NIGHTIES PSC,HHSFO581,HAPPY,100477,7,"2,036.43","14,255","2,390.00","16,730","-2,475"
NIGHTIES PSC,DVMIX,DEVINO,100523,28,"2,638.57","73,880","2,890.00","80,920","-7,040"
NIGHTIES PSC,LS384BIG,LADYSHINE,100524,13,"3,713.08","48,270","3,990.00","51,870","-3,600"
NIGHTIES PSC,AYDOBIG,AYDOGAN,100525,1,"3,350.00","3,350","3,350.00","3,350",0
NIGHTIES PSC,AN9512,ANIL,100583,3,"3,390.00","10,170","3,390.00","10,170",0
NIGHTIES PSC,DV2024BIG,DEVINO,100664,6,"3,120.00","18,720","3,120.00","18,720",0
NIGHTIES PSC,DV2574,DEVINO,100665,16,"2,946.25","47,140","2,990.00","47,840",-700
NIGHTIES PSC,HRN,HAPPY,100704,13,"2,028.46","26,370","2,490.00","32,370","-6,000"
NIGHTIES PSC,HFO,HAPPY,100771,5,"2,330.00","11,650","2,490.00","12,450",-800
NIGHTIES PSC,T200211,TILSIM,100772,4,"3,290.00","13,160","3,290.00","13,160",0
NIGHTIES PSC,ITMIX,IPEKTEN,100773,3,"3,290.00","9,870","3,290.00","9,870",0
NIGHTIES PSC,AN9518,ANIL,100782,4,"3,567.50","14,270","3,590.00","14,360",-90
NIGHTIES PSC,F6118,NON B,100783,21,650,"13,650",650,"13,650",0
NIGHTIES PSC,AYDOMIXBIG-HS,AYDOGAN,100808,3,"3,790.00","11,370","3,790.00","11,370",0
NIGHTIES PSC,AN9506,ANIL,100843,8,"3,590.00","28,720","3,590.00","28,720",0
NIGHTIES PSC,DS13850,DEEP SLEEP,100906,3,"2,490.00","7,470","2,490.00","7,470",0
