Date,Sales,Average Discount
06/05/2019,2580,0
07/05/2019,5150,0
08/05/2019,2279,15
09/05/2019,7639,20
10/05/2019,3788,15
11/05/2019,12789,15
12/05/2019,4893,15
13/05/2019,4430,15
14/05/2019,5625,23
15/05/2019,1437,15
16/05/2019,3633,15
17/05/2019,10479,15
18/05/2019,28161,15
19/05/2019,24347,15
20/05/2019,18367,15
21/05/2019,6324,15
22/05/2019,11505,15
23/05/2019,10445,20
24/05/2019,3884,15
25/05/2019,15643,15
26/05/2019,9208,15
27/05/2019,13169,15
28/05/2019,27542,18
29/05/2019,12384,15
30/05/2019,26381,17
31/05/2019,48121,15
01/06/2019,40372,15
02/06/2019,18465,15
03/06/2019,18753,17
04/06/2019,51509,15
07/06/2019,14900,15
08/06/2019,22613,15
09/06/2019,4445,0
10/06/2019,18692,15
11/06/2019,44670,15
12/06/2019,29926,18
13/06/2019,14969,15
14/06/2019,39144,16
15/06/2019,11922,18
16/06/2019,24344,15
17/06/2019,11977,15
18/06/2019,16069,15
19/06/2019,5415,15
20/06/2019,14584,20
21/06/2019,3426,15
22/06/2019,13327,15
23/06/2019,3043,15
24/06/2019,16145,15
25/06/2019,19217,15
26/06/2019,16890,17
27/06/2019,11098,23
28/06/2019,17795,45
29/06/2019,35597,50
30/06/2019,9774,0
01/07/2019,18829,50
02/07/2019,14316,50
03/07/2019,11690,0
04/07/2019,12405,50
05/07/2019,48544,50
06/07/2019,25128,50
07/07/2019,23631,50
08/07/2019,19528,50
09/07/2019,19510,37
10/07/2019,7448,50
11/07/2019,17415,50
12/07/2019,21189,50
13/07/2019,26070,50
14/07/2019,11427,32
15/07/2019,17369,50
16/07/2019,10831,50
17/07/2019,21209,50
18/07/2019,20154,0
19/07/2019,18618,47
20/07/2019,20668,50
21/07/2019,33481,50
22/07/2019,22688,50
23/07/2019,27940,50
24/07/2019,5289,50
25/07/2019,6692,0
26/07/2019,26728,50
27/07/2019,33910,50
28/07/2019,26479,50
29/07/2019,24791,50
30/07/2019,7365,50
31/07/2019,19707,40
01/08/2019,28052,43
02/08/2019,27853,50
03/08/2019,24307,42
04/08/2019,25612,50
05/08/2019,12596,50
06/08/2019,13041,50
07/08/2019,63437,50
08/08/2019,19281,50
09/08/2019,28222,45
10/08/2019,42200,50
11/08/2019,24975,50
12/08/2019,3372,0
14/08/2019,1100,0
15/08/2019,11207,0
16/08/2019,29776,28
17/08/2019,30838,48
18/08/2019,15965,45
19/08/2019,14981,40
20/08/2019,13105,50
21/08/2019,11466,0
22/08/2019,5675,50
23/08/2019,17545,0
