Category,Item Code,Item Description,Bar Code,Opening,Purchase,Sale,Closing
BRA SET,NU4430,NURTEKS,100877,0,24,15,9
BRA SET,NU4591,NURTEKS,100878,0,7,6,1
BRA SET,NU4487,NURTEKS,100879,0,30,24,6
BRA SET,KK300,CONSOY,100880,0,18,18,0
BRA SET,E1908,NON B,100911,0,18,16,2
BRA SET,E18015,NON B,100912,0,24,24,0
BRA SET,AN4743,ANIL,100934,0,10,9,1
BRA SET,AN4728,ANIL,100935,0,8,7,1
BRA SET,PC4615,PIERRE CARDIN,100936,0,3,2,1
BRA SET,NU3512,NURTEKS,100937,0,2,2,0
BRA SET,NU3519,NURTEKS,100938,0,2,2,0
BRA SET,AN4692,ANIL,100939,0,1,1,0
BRA SET,AN5588,ANIL,100940,0,4,4,0
BRA SET,E1707,NON B,100941,0,27,25,2
BRA SET,H6009,NON B,100942,0,15,15,0
BRA SET,C17019,NON B,100943,0,13,13,0
BRA SET,GOMONIKA,GOLGE,100986,0,22,15,7
BRA SET,H7724,NON B,100989,0,41,41,0
BRA SET,C17020,NON B,100990,0,16,16,0
BRA SET,NK2889544,NON B,100992,0,0,-1,1
BRA SET,CAN200S,NON B,100993,0,1,1,0
BRA SET,MIXASS,NON B,101017,0,3,3,0
BRA SET,KK177,NON B,101018,0,6,3,3
BRA SET,NU4432,NURTEKS,101038,0,6,5,1
BRA SET,NU4532,NURTEKS,101039,0,9,9,0
BRA SET,NZ222,NAZIK,101040,0,12,15,-3
BRA SET,NZ111,NAZIK,101041,0,12,7,5
BRA SET,KK191,CANSOY,101042,0,24,24,0
BRA SET,E1921,NON B,101090,0,36,25,11
BRA SET,E1938,NON B,101114,0,42,30,12
BRA SET,E1924,NON B,101115,0,35,32,3
BRA SET,HBLPHULP545,SABINA,101116,0,6,4,2
BRA SET,HBLPHULP1005,SABINA,101117,0,6,1,5
BRA SET,E1932,NON B,101283,0,18,16,2
BRA SET,E1922,NON B,101284,0,6,5,1
BRA SET,GO9300,GOLGE,101285,0,12,4,8
BRA SET,E1907,NON B,101313,0,24,20,4
BRA SET,ADRIANA,ORKIDE,101184,0,3,3,0
